    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 5325,          7612,            2290,           3533,     33352,        5325,      32120
 5350,          7654,            2307,           3468,     33552,        5350,      32289
 5375,          7691,            2319,           3454,     33755,        5375,      32653
 5400,          7732,            2335,           3577,     33860,        5400,      33389
 5425,          7762,            2340,           3551,     34064,        5425,      32486
 5450,          7796,            2349,           3477,     34213,        5450,      33457
 5475,          7830,            2358,           3458,     34380,        5475,      34723
 5500,          7870,            2373,           3629,     34616,        5500,      34088
 5525,          7903,            2381,           3615,     34790,        5525,      33230
 5550,          7944,            2397,           3661,     34919,        5550,      33716
 5575,          7977,            2405,           3591,     35160,        5575,      34961
 5600,          8023,            2426,           3569,     35369,        5600,      33994
 5625,          8059,            2437,           3692,     35621,        5625,      34024
 5650,          8091,            2444,           3651,     35685,        5650,      34900
 5675,          8132,            2460,           3662,     35888,        5675,      34777
 5700,          8167,            2470,           3692,     36053,        5700,      35670
 5725,          8213,            2491,           3713,     36226,        5725,      35216
 5750,          8249,            2502,           3711,     36400,        5750,      35380
 5775,          8288,            2516,           3735,     36593,        5775,      36127
 5800,          8329,            2532,           4128,     36799,        5800,      35448
 5825,          8363,            2541,           3829,     36977,        5825,      37346
 5850,          8401,            2554,           3837,     37175,        5850,      37119
 5875,          8432,            2560,           3760,     37364,        5875,      35969
 5900,          8476,            2579,           3858,     37563,        5900,      36177
 5925,          8518,            2596,           3939,     37790,        5925,      36082
 5950,          8557,            2610,           3846,     37951,        5950,      36961
 5975,          8600,            2628,           3886,     38135,        5975,      37058
 6000,          8635,            2638,           3844,     38343,        6000,      36678
 6025,          8670,            2648,           3868,     38596,        6025,      38475
 6050,          8705,            2658,           3988,     38794,        6050,      37307
 6075,          8739,            2667,           3990,     39037,        6075,      37421
 6100,          8775,            2678,           3985,     39221,        6100,      37315
 6125,          8815,            2693,           3950,     39434,        6125,      38176
 6150,          8848,            2701,           3946,     39667,        6150,      37717
 6175,          8896,            2724,           4012,     39794,        6175,      38149
 6200,          8930,            2733,           3980,     39930,        6200,      37981
 6225,          8972,            2750,           4059,     40078,        6225,      39131
 6250,          9009,            2762,           4110,     40186,        6250,      39312
 6275,          9045,            2773,           4392,     40404,        6275,      38391
 6300,          9082,            2785,           4388,     40513,        6300,      40182
 6325,          9117,            2795,           4210,     40694,        6325,      40328
 6350,          9155,            2808,           4086,     40837,        6350,      40447
 6375,          9189,            2817,           4400,     41016,        6375,      41640
 6400,          9233,            2836,           4403,     41228,        6400,      40856
 6425,          9269,            2847,           4203,     41364,        6425,      39616
 6450,          9311,            2864,           4165,     41525,        6450,      40479
 6475,          9344,            2872,           4216,     41671,        6475,      39736
 6500,          9387,            2890,           4237,     41825,        6500,      40437
 6525,          9430,            2908,           4245,     42038,        6525,      41536
 6550,          9467,            2920,           4345,     42172,        6550,      40670
 6575,          9503,            2931,           4405,     42362,        6575,      40266
 6600,          9547,            2950,           4272,     42530,        6600,      42272
 6625,          9576,            2954,           4313,     42811,        6625,      42438
 6650,          9610,            2963,           4354,     43010,        6650,      41008
 6675,          9648,            2976,           4308,     43093,        6675,      41095
 6700,          9689,            2992,           4587,     43299,        6700,      41827
 6725,          9728,            3006,           4496,     43437,        6725,      41609
 6750,          9760,            3013,           4335,     43645,        6750,      43927
 6775,          9798,            3026,           4734,     43801,        6775,      42727
 6800,          9831,            3034,           4492,     44014,        6800,      42579
 6825,          9865,            3043,           4476,     44169,        6825,      42654
 6850,          9901,            3054,           4511,     44352,        6850,      42525
 6875,          9936,            3064,           4479,     44522,        6875,      44248
 6900,          9975,            3078,           4550,     44764,        6900,      44649
 6925,         10008,            3086,           4662,     44899,        6925,      45025
 6950,         10042,            3095,           4542,     45090,        6950,      44721
 6975,         10074,            3102,           5647,     45286,        6975,      44106
 7000,         10113,            3116,           4554,     45464,        7000,      43312
 7025,         10151,            3129,           4533,     45671,        7025,      44481
 7050,         10187,            3140,          10410,     45883,        7050,      71899
 7075,         10223,            3151,          13328,     46087,        7075,      56383
 7100,         10263,            3166,           9052,     46273,        7100,      58419
 7125,         10299,            3177,           4885,     46492,        7125,      46406
 7150,         10334,            3187,           4858,     46720,        7150,      47733
 7175,         10373,            3201,           4724,     46897,        7175,      44940
 7200,         10409,            3212,           4765,     47058,        7200,      56628
 7225,         10442,            3220,          10828,     47255,        7225,      61948
 7250,         10478,            3231,           6301,     47411,        7250,      63218
 7275,         10516,            3244,           6521,     47594,        7275,      51719
 7300,         10563,            3266,           4984,     47783,        7300,      47459
 7325,         10593,            3271,           4896,     47935,        7325,      45572
 7350,         10637,            3290,           5220,     48180,        7350,      48023
